amt,category,merchant,state,gender,city_pop,age,unix_time,distance_km,risk_score,risk_bucket,is_fraud
66.52,gas_transport,fraud_Friesen-Stamm,OH,M,128,73,1353301400,33.62225,0.3836441913794026,Medium,0
212.6999969482422,grocery_pos,"fraud_Casper, Hand and Zulauf",OR,F,42817,37,1346976684,107.480385,0.6633219143421863,High,0
18.82,kids_pets,fraud_Windler LLC,OH,M,47772,53,1353783384,102.07914,0.169610125002778,Medium,0
128.4600067138672,grocery_pos,"fraud_Rowe, Batz and Goodwin",GA,M,74,75,1360980996,57.66439,0.4333699974718499,High,0
84.41000366210938,gas_transport,fraud_Heller-Langosh,OH,M,22930,47,1344077785,28.616827,0.3017214376863762,Medium,0
40.08,food_dining,fraud_Harris Group,IN,M,4081,81,1349585443,90.42346,0.2980941929756945,Medium,0
84.66000366210938,home,fraud_Wuckert-Goldner,AL,M,5901,46,1330701471,130.05602,0.1314708216417597,Low,0
18.47,personal_care,fraud_Reichel LLC,MI,F,3104,38,1352831403,110.8992,0.1560082440572072,Medium,0
3.8,shopping_pos,fraud_Sawayn PLC,MD,M,3766,35,1334591736,85.14689,0.1849047277762139,Medium,0
62.810001373291016,food_dining,fraud_O'Hara-Wilderman,IN,F,910148,44,1365958105,21.732155,0.0848293159897105,Low,0
56.5,kids_pets,fraud_Bednar PLC,NY,F,34496,48,1345756608,50.946346,0.1794241027601411,Medium,0
134.95,kids_pets,fraud_Ruecker-Mayert,NY,F,165,73,1338504910,71.058075,0.2734492101117804,Medium,0
31.21999931335449,kids_pets,fraud_Windler LLC,SD,F,355,64,1368396881,75.324196,0.1601390722655542,Medium,0
18.68000030517578,health_fitness,fraud_Reilly and Sons,WA,F,85,34,1328535029,39.480225,0.1192578298964525,Low,0
110.62999725341795,entertainment,fraud_Frami Group,MI,M,75830,44,1334265708,77.26791,0.1945569579560987,Medium,0
156.32000732421875,entertainment,fraud_Cummerata-Hilpert,MD,M,19054,43,1368401888,76.62761,0.2112384382339631,Medium,0
1.2000000476837158,shopping_net,fraud_Stamm-Witting,WY,F,241,39,1370891484,78.5428,0.2954397095161275,Medium,0
3.450000047683716,kids_pets,fraud_Breitenberg-Hermiston,NJ,F,2307,50,1356701398,80.18283,0.1827641476289704,Medium,0
50.16999816894531,food_dining,fraud_Bahringer-Streich,CA,F,54287,47,1362337099,96.321175,0.131311550615024,Low,0
4.51,shopping_net,"fraud_Baumbach, Feeney and Morar",WY,M,19408,25,1339865733,64.82558,0.1609083494556985,Medium,0
9.85,health_fitness,fraud_Reilly and Sons,KS,M,269,57,1352395454,11.284704,0.103877028371592,Low,0
201.66,shopping_pos,"fraud_Goyette, Howell and Collier",NY,F,69,28,1354388754,103.047356,0.3693005748607224,Medium,0
223.2,misc_pos,fraud_Bruen-Yost,OH,M,22930,47,1337867646,35.347076,0.2508952818818765,Medium,0
21.309999465942383,home,"fraud_Schiller, Blanda and Johnson",CA,M,128,53,1356295101,99.37511,0.1629805576591727,Medium,0
8.69,home,"fraud_Kling, Howe and Schneider",TX,F,932,64,1338384815,85.854164,0.1747919759967835,Medium,0
6.360000133514404,shopping_net,fraud_Gerlach Inc,SC,F,5648,84,1330410368,48.75184,0.3575741024018735,Medium,0
236.1100006103516,misc_net,"fraud_Ferry, Lynch and Kautzer",KY,F,581,53,1371206835,34.408348,0.4294976674831075,High,0
75.61000061035156,gas_transport,"fraud_Eichmann, Bogan and Rodriguez",GA,F,165556,22,1367996365,44.426647,0.2607611804324014,Medium,0
55.97999954223633,misc_net,fraud_Bogisich-Homenick,MN,M,914,75,1356511609,25.54238,0.1700549798084509,Medium,0
50.16,gas_transport,fraud_Corwin-Collins,DC,F,601723,33,1353904125,96.74208,0.3668762920511745,Medium,0
81.66999816894531,gas_transport,"fraud_Tillman, Dickinson and Labadie",OK,M,116001,26,1361431077,91.42961,0.271666098778234,Medium,0
58.58000183105469,food_dining,fraud_Kihn-Schuster,PA,M,2054,42,1329522722,85.35872,0.161238087066663,Medium,0
130.36000061035156,grocery_pos,"fraud_Osinski, Ledner and Leuschke",NE,F,493,79,1355029755,96.4354,0.4859940954948826,High,0
102.33999633789062,grocery_pos,"fraud_Rowe, Batz and Goodwin",PA,M,1140,33,1357887847,76.71578,0.2919502178454497,Medium,0
69.7300033569336,gas_transport,fraud_Prohaska-Murray,PA,F,28425,20,1371793407,81.36094,0.3731480279805148,Medium,0
32.7,health_fitness,"fraud_Klocko, Runolfsdottir and Breitenberg",CA,M,1241364,31,1349361412,61.096855,0.0768102257874999,Low,0
72.0199966430664,gas_transport,fraud_Kuvalis Ltd,MO,F,3805,69,1356509288,89.561714,0.2893504138263428,Medium,0
114.18,home,fraud_Skiles LLC,MD,M,33917,42,1347648108,79.74195,0.2181623870908946,Medium,0
98.5999984741211,grocery_pos,"fraud_Rowe, Batz and Goodwin",ND,M,229,36,1332058656,119.33001,0.3210147192877198,Medium,0
79.44000244140625,grocery_pos,"fraud_Lockman, West and Runte",FL,M,42619,44,1370148027,81.465164,0.3362232261698335,Medium,0
2.5899999141693115,shopping_pos,fraud_Jast-McDermott,NY,F,2504700,20,1364073154,56.33507,0.266173572549736,Medium,0
3.7899999618530273,shopping_net,fraud_Stamm-Witting,CO,M,151815,32,1365360637,64.03463,0.1990830086932655,Medium,0
194.3000030517578,shopping_pos,"fraud_Bernhard, Grant and Langworth",KY,F,230,22,1347204734,34.020393,0.2490908518462879,Medium,0
98.5500030517578,home,fraud_Berge-Ullrich,MN,M,16163,33,1370091947,108.02096,0.1156418127423657,Low,0
133.17999267578125,entertainment,fraud_Beier LLC,SC,F,2408,22,1344365204,43.792294,0.2319360112509112,Medium,0
45.03,kids_pets,fraud_Schimmel-Olson,PA,F,1334,32,1335133396,85.89469,0.1874287381169774,Medium,0
86.66000366210938,grocery_pos,"fraud_Casper, Hand and Zulauf",IA,M,568,50,1366002278,30.502115,0.3539123673672065,Medium,0
71.77,gas_transport,fraud_Kutch LLC,ME,F,1131,60,1348296410,115.348564,0.2985455497367653,Medium,0
40.709999084472656,entertainment,fraud_Dibbert-Green,OH,F,2644,36,1354998714,82.157234,0.1474528697199609,Low,0
